Problem:    Immagini
Rows:       137
Columns:    40 (40 integer, 40 binary)
Non-zeros:  343
Status:     INTEGER OPTIMAL
Objective:  z = 4924 (MAXimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
    19 x[19]        *              0             0             1 
    20 x[20]        *              0             0             1 
    21 x[21]        *              0             0             1 
    22 x[22]        *              1             0             1 
    23 x[23]        *              1             0             1 
    24 x[24]        *              1             0             1 
    25 x[25]        *              0             0             1 
    26 x[26]        *              0             0             1 
    27 x[27]        *              0             0             1 
    28 x[28]        *              0             0             1 
    29 x[29]        *              0             0             1 
    30 x[30]        *              0             0             1 
    31 x[31]        *              0             0             1 
    32 x[32]        *              0             0             1 
    33 x[33]        *              0             0             1 
    34 x[34]        *              0             0             1 
    35 x[35]        *              1             0             1 
    36 x[36]        *              0             0             1 
    37 x[37]        *              1             0             1 
    38 x[38]        *              0             0             1 
    39 x[39]        *              0             0             1 
    40 x[40]        *              1             0             1 

Integer feasibility conditions:

KKT.PE: max.abs.err = 0.00e+000 on row 0
        max.rel.err = 0.00e+000 on row 0
        High quality

KKT.PB: max.abs.err = 0.00e+000 on row 0
        max.rel.err = 0.00e+000 on row 0
        High quality

End of output
